Time (s),Accel_X (g),Accel_Y (g),Accel_Z (g),Accel_Mag (g),Gyro_X (deg/s),Gyro_Y (deg/s),Gyro_Z (deg/s),Mag_X (mT),Mag_Y (mT),Mag_Z (mT),Pressure (mbar),P_Temp (C),Battery (V),time
1.83,-14.915,0.735,-0.38,5.128,-20.8,-60.3,61.5,-2.7,-258.9,-56.1,999.1,20.31,3.89,1.83
1.84,-15.475,-1.195,-1.4,5.774,-37.3,-53.9,61.7,-12.3,-268.5,-63.9,999.2,20.31,3.89,1.84
1.85,-10.57,-0.505,-0.22,0.774,-72.2,-39.5,58.0,-12.3,-275.7,-59.1,999.7,20.31,3.89,1.85
1.86,-9.18,0.645,-0.085,-0.607,-128.6,-41.8,68.8,-14.7,-280.5,-53.7,999.7,20.31,3.89,1.86
1.87,-9.355,0.03,-0.765,-0.424,-155.4,-35.2,59.5,-21.9,-287.7,-54.3,999.6,20.31,3.89,1.87
1.88,-9.485,1.135,0.02,-0.257,-172.6,-33.2,42.4,-14.7,-292.5,-62.7,999.7,20.31,3.89,1.88
1.89,-9.61,1.77,0.545,-0.023,-147.8,-32.3,31.6,-21.9,-285.3,-59.7,999.6,20.31,3.89,1.89
1.9,-9.61,1.77,0.545,-0.023,-147.8,-32.3,31.6,-21.9,-285.3,-59.7,999.7,20.31,3.89,1.9
1.91,-8.34,2.175,1.095,-1.122,-103.2,-29.6,40.8,-21.9,-294.9,-59.7,999.9,20.31,3.89,1.91
1.92,-7.575,2.46,1.525,-1.701,-62.0,-21.8,50.1,-17.1,-311.7,-62.1,999.7,20.31,3.89,1.92
1.93,-9.655,2.235,0.735,0.128,-58.9,-26.1,28.9,-24.3,-314.1,-57.9,999.6,20.31,3.89,1.93
1.94,-9.815,1.27,0.605,0.105,-46.5,-37.9,11.8,-17.1,-323.7,-64.5,999.6,20.31,3.89,1.94
1.95,-10.19,0.905,0.115,0.421,-34.9,-39.8,10.5,-9.9,-309.3,-64.5,999.5,20.31,3.89,1.95
